rank,lemma,pos,freq
1,essere,v,3507888
2,avere,v,2620540
3,non,adv,2340479
4,fare,v,1151883
5,potere,v,676977
6,stare,v,648668
7,cosa,n,642229
8,andare,v,641883
9,dire,v,636417
10,volere,v,609883
11,dovere,v,548096
12,no,adv,518212
13,sapere,v,499632
14,qui,adv,349139
15,bene,adv,335668
16,vedere,v,328947
17,più,adv,309918
18,sei,adj,294099
19,pensare,v,271765
20,solo,adv,261805
21,così,adv,244377
22,venire,v,229884
23,sì,adv,222939
24,prendere,v,214434
25,parlare,v,204981
26,ne,adv,202876
27,ora,adv,195284
28,sentire,v,192280
29,credere,v,185652
30,mai,adv,179844
31,anche,adv,167951
32,trovare,v,165912
33,grazia,n,162780
34,dare,v,158901
35,molto,adv,157935
36,lasciare,v,153939
37,allora,adv,151933
38,signore,n,140860
39,casa,n,134170
40,già,adv,133685
41,ancora,adv,133645
42,chiamare,v,133592
43,capire,v,130245
44,due,adj,127731
45,VERO,adj,127049
46,succedere,v,125771
47,mettere,v,124577
48,davvero,adv,123962
49,altro,adj,123743
50,anno,n,122484
51,volta,n,119844
52,tutto,adv,119714
53,uomo,n,117900
54,piacere,v,116765
55,aspettare,v,116636
56,portare,v,115105
57,saio,n,112886
58,pò,adv,112196
59,guardare,v,111656
60,primo,adj,109479
61,sembrare,v,108715
62,sempre,adv,107508
63,tempo,n,106032
64,forse,adv,103389
65,cercare,v,103013
66,quindi,adv,102315
67,ragazzo,n,100659
68,giorno,n,100527
69,dove,adv,100131
70,chiedere,v,99913
71,morire,v,96820
72,vita,n,93718
73,figlio,n,93034
74,tornare,v,92785
75,conoscere,v,92248
76,poi,adv,91999
77,parte,n,90526
78,fuori,adv,90005
79,uccidere,v,89873
80,adesso,adv,88523
81,nuovo,adj,87869
82,certo,adv,87191
83,arrivare,v,85743
84,riuscire,v,84728
85,lavoro,n,83146
86,dio,n,82762
87,bisogno,n,82604
88,amico,n,82512
89,persona,n,82292
90,stesso,adj,81475
91,nessuno,adj,81401
92,finire,v,80815
93,proprio,adv,80609
94,bello,adj,79790
95,tenere,v,79315
96,padre,n,78825
97,era,n,77146
98,niente,adj,74990
99,aiutare,v,72590
100,dispiacere,v,72103
101,modo,n,71448
102,giusto,adj,69649
103,qualche,adj,68885
104,perdere,v,68537
105,bambino,n,68410
106,uscire,v,67981
107,ogni,adj,67974
108,signor,n,67494
109,problema,n,65598
110,donna,n,65595
111,passare,v,65203
112,meglio,adv,64364
113,ecco,adv,63961
114,grande,adj,63690
115,scusare,v,63193
116,servire,v,63151
117,cazzo,n,62800
118,quanto,adv,61429
119,pronto,adj,61375
120,provare,v,60980
121,favore,n,60363
122,mamma,n,60023
123,sicuro,adj,59725
124,entrare,v,59544
125,momento,n,58856
126,posto,n,56701
127,buono,adj,56368
128,madre,n,55749
129,ascoltare,v,55142
130,soldo,n,53768
131,lavorare,v,53195
132,troppo,adv,52371
133,idea,n,52054
134,tre,adj,52014
135,tipo,n,51905
136,piccolo,adj,51633
137,appena,adv,50877
138,nome,n,50683
139,gente,n,50649
140,okay,n,50358
141,forza,n,50057
142,papà,n,49912
143,caso,n,49749
144,accordo,n,49702
145,ricordare,v,48841
146,voi,n,48807
147,usare,v,48691
148,oggi,adv,48586
149,dottore,n,48463
